seqs,preds,method,Method Type
"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Gal', 'b1-4', 'GlcNAc', 'b1-4', 'Man', 'a1-3', '1-6']",1.5362711e-10,Mutated-Random,Random
"['Glc', 'b1-3', 'Glc', 'b1-2', 'Rha', 'a1-4', 'Glc', '1dAlt-ol', '1-1', '1-1', '1-1']",3.849256e-09,Mutated-Random,Random
"['Galf', 'b1-5', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1dAlt-ol']",7.371545e-07,Mutated-Random,Random
"['GlcOPGro', 'b1-4', 'Glc', 'a1-6', 'GalOAc', 'a1-3', 'FucNAc', 'a1-3', '2,5-Anhydro-Man', 'b1-3', 'GlcOPGro']",2.6047208e-14,Mutated-Random,Random
"['Galf', 'b1-4', 'Gal', 'a1-3', 'GalOAcA', '1-3', 'GalNAc', 'b1-3', 'Galf', '1-1', '1-1']",9.693328e-13,Mutated-Random,Random
"['Glc', 'a1-3', 'Gal', 'b1-2', 'Gal', 'b1-3', 'D-Rha', '1-1', 'Gal', 'a1-2', 'GlcA']",1.3133126e-15,Mutated-Random,Random
"['Glc', 'a1-3', 'Man', 'a1-3', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-3', '1-1']",8.872065e-09,Mutated-Random,Random
"['ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcNAc', 'a1-4', '1dAlt-ol', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcN']",1.1391067e-10,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Xyl', 'a1-6', '2,5-Anhydro-Man', 'b1-4', 'Glc']",2.9943333e-11,Mutated-Random,Random
"['Glc', '1-6', 'Glc', 'b1-2', 'Rha', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1']",3.143184e-07,Mutated-Random,Random
"['GalALys', 'a1-3', 'GalNAc', 'b1-4', '1-4', 'b1-3', 'GalNAc', 'b1-2', 'GalALys', '1-1', '1-1']",1.2878179e-08,Mutated-Random,Random
"['Gal', '1-3', 'Gal', 'b1-4', 'Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.4824704e-07,Mutated-Random,Random
"['Man', 'a1-3', 'Man', '1-2', 'Man', 'a1-6', 'Man', 'a1-2', 'Man', 'a1-3', 'Man']",1.3019483e-08,Mutated-Random,Random
"['Man', '1-1', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man']",3.5811856e-05,Mutated-Random,Random
"['DDManHep', 'a1-3', 'Fuc', 'a1-3', 'GlcNAc', 'b1-2', '1-4', 'a1-4', 'Gal', 'b1-7', 'DDManHep']",1.0096597e-11,Mutated-Random,Random
"['D-FucNAc', 'b1-4', 'QuiNAc', 'b1-3', '6dTalOAc', 'a1-3', 'D-FucNAc', '1-2', '1-1', '1-1', '1-1']",1.4328259e-07,Mutated-Random,Random
"['Fuc', 'a1-3', 'Fuc', 'a1-6', 'GlcNAc', '1-1', '1-1', '2,5-Anhydro-Man', '1-1', '1-1', '1-1']",1.7062356e-09,Mutated-Random,Random
"['GlcA', 'b1-2', 'Rha', 'a1-2', '1-5', 'a1-2', 'Rha-ol', '1-1', '1-1', '1-1', '1-1']",6.9337676e-07,Mutated-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Gal', 'b1-4', 'GlcNAc', '2,5-Anhydro-Man-ol', 'Man', 'a1-3', 'GlcNAc']",8.473946e-12,Mutated-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Gal', 'b1-4', 'GlcNAc', 'b1-4', 'Man', 'a1-3', '2,5-Anhydro-Man']",1.7037774e-10,Mutated-Random,Random
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', '1dAlt-ol', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",4.8911697e-06,Mutated-Random,Random
"['1-4', 'a1-2', 'Gal', 'a1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1']",1.05201105e-10,Mutated-Random,Random
"['ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', '1dEry-ol', 'a1-4', 'ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcN']",1.7636757e-11,Mutated-Random,Random
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', '1-3', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",1.5724258e-05,Mutated-Random,Random
"['GlcOP', 'a1-3', 'Galf', 'b1-3', '1-5', 'b1-2', 'Galf', 'b1-6', 'GlcNAc', '1-1', '1-1']",1.2069066e-07,Mutated-Random,Random
"['Glc', 'b1-3', 'Gal', 'b1-6', 'Fuc', '2,5-Anhydro-Man', 'Man', 'a1-4', 'Glc', '1-1', '1-1']",8.363062e-12,Mutated-Random,Random
"['GlcNAc', 'a1-2', 'Rha', 'a1-2', 'Rha', 'a1-3', 'Rha', '1-6', 'Rha', '1-1', '1-1']",1.2716781e-08,Mutated-Random,Random
"['LDManHep', 'a1-4', 'Gal', 'a1-7', '1-2', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.22196e-08,Mutated-Random,Random
"['NeuNGc', 'a2-6', '2,5-Anhydro-Man-ol', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Gal', 'b1-4', 'GlcNAc']",3.7879406e-09,Mutated-Random,Random
"['Rha', 'a1-3', 'Rha', 'a1-2', 'Rha', 'b1-2', 'Rha', '1-1', '1-1', '1-1', '1-1']",4.248335e-09,Mutated-Random,Random
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', '1-4', 'Galf']",7.583118e-07,Mutated-Random,Random
"['D-Rha', 'a1-3', 'D-Rha', 'a1-3', 'D-Rha', 'a1-2', '1-5', 'a1-2', 'D-Rha', 'a1-2', 'D-Rha']",8.516734e-09,Mutated-Random,Random
"['Glc', 'b1-3', 'Gal', 'b1-6', 'Fuc', 'a1-2', 'Man', 'a1-4', 'Glc', '1-3', '1-1']",1.710471e-11,Mutated-Random,Random
"['1dEry-ol', 'a1-6', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'Fuc', 'a1-6', 'GlcNAc', '1-1', '1-1']",3.835584e-06,Mutated-Random,Random
"['Gal', 'b1-4', '1-3', 'b1-2', 'Man', 'a1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man']",1.8747967e-07,Mutated-Random,Random
"['2,5-Anhydro-Man-ol', 'a2-6', 'GlcN', 'a1-4', 'GalA', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', 'a1-3', 'GalA']",4.439061e-09,Mutated-Random,Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1dEry-ol', '1-1', '1-1', '1-1', '1-1']",7.625281e-05,Mutated-Random,Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', '1-2', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",1.7728322e-06,Mutated-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Glc', '1dEry-ol', '1-1', '1-1', '1-1']",2.6701705e-09,Mutated-Random,Random
"['LDManHep', 'a1-4', 'Gal', 'a1-7', 'Kdo', '1-1', '1-6', '1-1', '1-1', '1-1', '1-1']",4.462416e-12,Mutated-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-4', 'Glc', '1-5', '1-1', '1-1', '1-1', '1-1', '1-1']",6.976116e-08,Mutated-Random,Random
"['GlcA', 'a1-2', 'Galf', '1-1', 'Galf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.5665877e-05,Mutated-Random,Random
"['Glc', 'b1-4', 'Rha', 'a1-2', 'GalOP', 'a1-3', '1-5', 'b1-4', 'Glc', 'b1-4', 'Glc']",6.406448e-07,Mutated-Random,Random
"['GalfOAc', '2,5-Anhydro-Man', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.7971098e-05,Mutated-Random,Random
"['GlcOP', '1dEry-ol', 'Galf', 'b1-3', 'GlcNAc', 'b1-2', 'Galf', 'b1-6', 'GlcNAc', '1-1', '1-1']",1.5084699e-07,Mutated-Random,Random
"['Rha', 'a1-2', 'Ara', 'a1-2', 'GlcA', '1-1', '1-4', '1-1', '1-1', '1-1', '1-1']",5.535231e-12,Mutated-Random,Random
"['Glc', 'b1-3', 'Gal', 'b1-6', 'Fuc', 'a1-2', '1-5', 'a1-4', 'Glc', '1-1', '1-1']",1.0362028e-10,Mutated-Random,Random
"['Glc', 'b1-2', 'Xyl', 'b1-3', 'Glc', 'b1-4', '1-3', '1-1', '1-1', '1-1', '1-1']",1.7734871e-08,Mutated-Random,Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-5', '1-1', '1-1']",1.4859177e-05,Mutated-Random,Random
"['GlcA', '1-2', 'Galf', 'b1-6', 'Galf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.0279899e-06,Mutated-Random,Random
"['2,5-Anhydro-Man', 'a1-2', 'Gal', 'a1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1']",1.04663354e-10,Mutated-Random,Random
"['GalfOAc', 'b1-4', '2,5-Anhydro-Man', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.003588164,Mutated-Random,Random
"['Glc', 'a1-3', 'Gal', 'b1-2', 'Gal', '1dEry-ol', 'D-Rha', 'a1-4', 'Gal', 'a1-2', 'GlcA']",3.0050327e-14,Mutated-Random,Random
"['2,5-Anhydro-Man', 'a1-3', 'Man', 'b1-4', 'Rha', 'a1-3', 'Glc', 'a1-4', 'Gal', 'a1-6', 'Man']",2.712546e-08,Mutated-Random,Random
"['Glc', 'b1-6', '1-2', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00032797753,Mutated-Random,Random
"['Gal', 'a1-6', 'Glc', '1dEry-ol', 'GalOPEtnN', 'a1-4', 'LDManHep', 'a1-2', 'GalA', 'a1-3', 'GlcOPEtn']",5.7311215e-11,Mutated-Random,Random
"['1dAlt-ol', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Fuc', 'a1-3', 'Gal']",2.4332356e-13,Mutated-Random,Random
"['Rha', 'a1-3', '1-2', 'a1-6', 'Gal', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.7906708e-09,Mutated-Random,Random
"['QuiNAc', 'b1-3', 'FucOAc', 'a1-4', 'Gal', 'b1-3', 'GalNAc', 'a1-4', 'QuiNAc', '1-6', 'FucOAc']",2.4842907e-11,Mutated-Random,Random
"['GlcA', 'b1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Rha-ol', '1-6', '1-1', '1-1', '1-1']",6.1492273e-09,Mutated-Random,Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '2,5-Anhydro-Man-ol', '1-1', '1-1', '1-1', '1-1', '1-1']",6.601103e-06,Mutated-Random,Random
"['GlcOP', 'a1-3', 'Galf', 'b1-3', 'GlcNAc', 'b1-2', 'Galf', 'b1-6', '1-2', '1-1', '1-1']",2.9839338e-08,Mutated-Random,Random
"['GlcNAc', 'b1-3', 'Rha', 'a1-2', 'Rha', 'a1-3', 'L-Xyl', 'b1-4', 'Rha', 'a1-3', '2,5-Anhydro-Man-ol']",3.840058e-09,Mutated-Random,Random
"['GlcA', 'b1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Rha-ol', '1-1', '1-1', '1-1', '2,5-Anhydro-Man-ol']",6.3502085e-08,Mutated-Random,Random
"['GlcA', 'b1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Rha-ol', '1-1', '1-1', '1-1', '1-4']",4.7811753e-08,Mutated-Random,Random
"['Fuc', 'a1-4', 'Gal', 'b1-3', 'GlcNAc', 'b1-2', '1dAlt-ol', 'a1-3', 'Fuc', 'a1-4', 'Gal']",2.2750484e-13,Mutated-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-4', '1-1', '1-1', '1-1']",3.0417831e-07,Mutated-Random,Random
"['Galf', 'b1-4', 'Gal', 'a1-3', '1dAlt-ol', 'a1-3', 'GalNAc', 'b1-3', 'Galf', '1-1', '1-1']",1.2416816e-13,Mutated-Random,Random
"['Fuc', 'a1-4', 'Gal', 'b1-3', 'GlcNAc', 'b1-2', '1-1', 'a1-3', 'Fuc', 'a1-4', 'Gal']",7.460149e-14,Mutated-Random,Random
"['Man', 'b1-4', 'Rha', 'a1-3', '1-6', 'a1-6', 'Man', '1-1', '1-1', '1-1', '1-1']",7.982955e-07,Mutated-Random,Random
"['QuiNAlaBut', 'b1-6', 'GlcNAc', 'a1-3', 'L-QuiNAc', 'a1-3', 'GlcNAcOAc', 'a1-3', 'QuiNAlaBut', '1-1', '1-3']",3.26583e-07,Mutated-Random,Random
"['GlcA', 'b1-3', 'GalNAc', 'a1-3', 'GalNAc', '1-3', 'Fuc', 'a1-2', 'GlcA', '1-1', '1-1']",1.3869734e-06,Mutated-Random,Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', '1dAlt-ol', 'Man', 'a1-2', 'Man']",1.0144433e-06,Mutated-Random,Random
"['GlcOPGro', '2,5-Anhydro-Man-ol', 'Glc', 'a1-6', 'GalOAc', 'a1-3', 'FucNAc', 'a1-3', 'GlcNAc', 'b1-3', 'GlcOPGro']",8.521241e-13,Mutated-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-3', 'Glc', 'b1-2', '1-3', 'a1-3', 'Rha', '1-1', '1-1']",3.7767736e-09,Mutated-Random,Random
"['GlcOPGro', 'b1-4', 'Glc', 'a1-6', 'GalOAc', 'a1-3', 'FucNAc', 'a1-3', '1-5', 'b1-3', 'GlcOPGro']",2.7155808e-12,Mutated-Random,Random
"['Galf', 'b1-5', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1dEry-ol', '1-1', '1-1', '1-1', '1-1']",6.9874926e-07,Mutated-Random,Random
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', 'a1-6', 'Man', '1-1', '1-1', '1-1', '2,5-Anhydro-Man']",4.3481396e-07,Mutated-Random,Random
"['GlcNAc', 'b1-2', 'Man', 'a1-3', '1-5', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",4.3341403e-10,Mutated-Random,Random
"['Glc', 'b1-3', 'Glc', 'b1-2', 'Rha', 'a1-4', 'Glc', '1dEry-ol', '1-1', '1-1', '1-1']",9.180564e-09,Mutated-Random,Random
"['Kdo', 'a2-6', 'GlcN', 'a1-4', 'GalA', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', '1-2', 'GalA']",5.515899e-10,Mutated-Random,Random
"['GalALys', 'a1-3', 'GalNAc', 'b1-4', 'GlcA', 'b1-3', 'GalNAc', 'b1-2', 'GalALys', '1-1', '1-5']",1.102477e-11,Mutated-Random,Random
"['LDManHep', '1-6', 'DDManHep', 'a1-2', 'GalA', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', 'a1-3', 'Glc']",1.2153253e-10,Mutated-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-3', 'Glc', 'b1-2', 'Rha', 'a1-3', 'Rha', '1-1', '1-1']",1.7820274e-09,Mutated-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1dEry-ol', '1-1', '1-1', '1-1', '1-1']",7.5705213e-07,Mutated-Random,Random
"['GlcOP', 'a1-3', 'Galf', 'b1-3', 'GlcNAc', 'b1-2', 'Galf', 'b1-6', '1-6', '1-1', '1-1']",3.039447e-08,Mutated-Random,Random
"['GlcNAc', '1-6', 'Rha', 'a1-2', 'Rha', 'a1-3', 'Rha', 'a1-3', 'Rha', '1-1', '1-1']",7.146936e-09,Mutated-Random,Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1dEry-ol']",9.98405e-05,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Glc', 'b1-4', 'Glc', '1dEry-ol', 'Glc']",5.478931e-11,Mutated-Random,Random
"['GalALys', 'a1-3', '1dAlt-ol', 'b1-4', 'GlcA', 'b1-3', 'GalNAc', 'b1-2', 'GalALys', '1-1', '1-1']",6.470465e-10,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-4', '2,5-Anhydro-Man', 'b1-6', 'NeuNAc', 'a2-3', 'Gal', 'b1-3', 'GalNAc']",1.26441555e-14,Mutated-Random,Random
"['Man', 'a1-6', 'Man', 'b1-4', '1-6', 'b1-4', 'Fuc', 'a1-6', 'GlcNAc', '1-1', '1-1']",4.4048812e-07,Mutated-Random,Random
"['Kdo', 'b2-3', 'Gal', 'a1-5', 'Kdo', '1-1', '1-1', '1-1', '1-1', '1-3', '1-1']",1.5150011e-12,Mutated-Random,Random
"['GlcOPGro', 'b1-4', 'Glc', 'a1-6', 'GalOAc', 'a1-3', 'FucNAc', 'a1-3', 'GlcNAc', 'b1-3', '1-1']",1.334327e-12,Mutated-Random,Random
"['FucNFo', 'a1-4', 'GalA', 'a1-4', 'GalNAc', 'a1-4', '2,5-Anhydro-Man', 'a1-3', 'GalNAc', 'b1-3', 'GalA']",2.3893975e-11,Mutated-Random,Random
"['Gal', 'a1-4', 'Gal', 'b1-4', 'Glc', 'a1-2', '1-4', 'b1-6', 'GlcNAc', 'a1-2', 'Glc']",2.115083e-09,Mutated-Random,Random
"['Glc', 'b1-4', 'Rha', 'a1-2', 'GalOP', '1-1', 'Gal', 'b1-4', 'Glc', 'b1-4', 'Glc']",1.1752287e-07,Mutated-Random,Random
"['1-6', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",0.00058426714,Mutated-Random,Random
"['GlcNAc', 'b1-2', 'Man', 'a1-3', '1-2', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",3.035286e-10,Mutated-Random,Random
"['GalNAc', '1dAlt-ol', 'Gal', 'b1-4', 'GlcA', 'b1-3', 'Gal', 'b1-3', 'Fuc', 'a1-2', 'Gal']",3.4026943e-13,Mutated-Random,Random
"['GlcNAc', '1-3', 'Gal', 'b1-3', 'LDManHep', 'a1-2', 'LDManHep', 'a1-3', 'Glc', 'b1-4', 'Glc']",1.7864053e-12,Mutated-Random,Random
"['GlcA', 'b1-3', 'GalNAc', '1-2', 'GalNAc', 'a1-2', 'Fuc', 'a1-2', 'GlcA', '1-1', '1-1']",3.298669e-08,Mutated-Random,Random
"['Kdo', 'b2-3', 'Gal', '1-6', 'Kdo', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",8.339065e-12,Mutated-Random,Random
"['GalNAc', 'a1-4', 'Gal', 'b1-4', '1-2', 'b1-3', 'Gal', 'b1-3', 'Fuc', 'a1-2', 'Gal']",6.990651e-12,Mutated-Random,Random
"['QuiNAlaBut', 'b1-6', 'GlcNAc', 'a1-3', '2,5-Anhydro-Man-ol', 'a1-3', 'GlcNAcOAc', 'a1-3', 'QuiNAlaBut', '1-1', '1-1']",2.6934533e-06,Mutated-Random,Random
"['Glc', 'a1-4', 'Glc', '1-4', 'GalNAc', 'b1-3', 'Man', '1-1', '1-1', '1-1', '1-1']",8.59214e-09,Mutated-Random,Random
"['NeuNAc', 'a2-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Glc', '1-1', 'GlcNAcOAc']",1.8232289e-10,Mutated-Random,Random
"['1-5', 'a1-4', 'Gal', 'b1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Fuc', 'a1-4', 'Gal']",1.1361648e-12,Mutated-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-4', 'Man', '1-1', '2,5-Anhydro-Man', '1-1', '1-1', '1-1', '1-1']",2.734634e-06,Mutated-Random,Random
"['GlcA', 'b1-3', 'GalNAc', 'a1-3', 'GalNAc', 'a1-2', 'Fuc', 'a1-2', 'GlcA', '1-5', '1-1']",6.395182e-08,Mutated-Random,Random
"['GalOS', '1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc']",3.999086e-09,Mutated-Random,Random
"['Gal', 'b1-4', '1-2', 'b1-2', 'Gal', 'b1-4', 'GlcNAc', 'b1-4', 'Man', 'a1-3', 'GlcNAc']",4.5053553e-10,Mutated-Random,Random
"['D-FucNAc', 'b1-4', 'QuiNAc', 'b1-3', '6dTalOAc', 'a1-3', 'D-FucNAc', '1-1', '1-1', '1-6', '1-1']",4.09754e-08,Mutated-Random,Random
"['Galf', 'b1-4', 'Gal', 'a1-3', 'GalOAcA', 'a1-3', 'GalNAc', 'b1-3', '1dEry-ol', '1-1', '1-1']",2.0672651e-13,Mutated-Random,Random
"['Gal', 'a1-2', 'D-Fuc', 'a1-3', 'Galf', '1-2', 'D-Fuc', '1-1', '1-1', '1-1', '1-1']",7.1024215e-06,Mutated-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Gal', 'a1-3', 'D-FucNAc', '1-4', 'Rha']",2.1576202e-12,Mutated-Random,Random
"['GlcNAc', 'b1-3', 'Rha', '1-3', 'Rha', 'a1-3', 'L-Xyl', 'b1-4', 'Rha', 'a1-3', 'GlcNAc']",2.4513466e-12,Mutated-Random,Random
"['GlcNAc', 'b1-3', 'GlcNAc', 'b1-6', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.4058207e-07,Mutated-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-3', '1-6', 'b1-2', 'Rha', 'a1-3', 'Rha', '1-1', '1-1']",1.086272e-08,Mutated-Random,Random
"['Glc', 'a1-3', 'Glc', 'a1-3', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.0095218e-05,Mutated-Random,Random
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', 'a1-6', 'Man', '1-1', '1-1', '2,5-Anhydro-Man-ol', '1-1']",1.3162407e-06,Mutated-Random,Random
"['GlcNAc', 'b1-2', 'Man', 'a1-3', '1-4', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",2.4179234e-10,Mutated-Random,Random
"['1-5', 'a1-7', 'Gal', 'b1-3', 'LDManHep', 'a1-2', 'LDManHep', 'a1-3', 'Glc', 'b1-4', 'Glc']",8.700657e-11,Mutated-Random,Random
"['Glc', 'a1-6', 'Rha', '1-5', 'Glc', 'b1-3', 'Glc', 'a1-4', 'GalOMeNAla', '1-1', '1-1']",8.236347e-12,Mutated-Random,Random
"['1-3', 'a1-4', 'Gal', 'b1-4', 'GlcA', 'b1-3', 'Gal', 'b1-3', 'Fuc', 'a1-2', 'Gal']",7.3280375e-12,Mutated-Random,Random
"['NeuNAc', '2,5-Anhydro-Man', 'Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'GlcNAcOAc']",1.3666204e-10,Mutated-Random,Random
"['GalNAc', 'a1-4', 'Gal', 'b1-4', '2,5-Anhydro-Man-ol', 'b1-3', 'Gal', 'b1-3', 'Fuc', 'a1-2', 'Gal']",1.21626945e-11,Mutated-Random,Random
"['1-6', 'a1-4', 'Gal', 'b1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Fuc', 'a1-4', 'Gal']",1.5599758e-12,Mutated-Random,Random
"['GlcOP', 'a1-3', 'Galf', 'b1-3', 'GlcNAc', 'b1-2', 'Galf', 'b1-6', 'GlcNAc', '1-1', '1-1']",1.3206848e-08,Mutated-Random,Random
"['GlcNAc', 'a1-2', 'Rha', 'a1-2', 'Rha', 'a1-3', 'Rha', 'a1-3', '1-3', '1-1', '1-1']",1.0906767e-09,Mutated-Random,Random
"['GalfOAc', '1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.1954296e-05,Mutated-Random,Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', '1-1', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",2.0143182e-06,Mutated-Random,Random
"['Gal', 'a1-2', 'D-Fuc', 'a1-3', 'Galf', '2,5-Anhydro-Man-ol', 'D-Fuc', '1-1', '1-1', '1-1', '1-1']",2.6089738e-06,Mutated-Random,Random
"['ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcNAc', '1-4', 'ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcN']",1.3054525e-12,Mutated-Random,Random
"['LDManHep', 'a1-4', 'Gal', 'a1-7', 'Kdo', '1-1', '1-1', '1-1', '1-1', '1-3', '1-1']",2.2104397e-12,Mutated-Random,Random
"['GlcOPGro', 'b1-4', 'Glc', 'a1-6', '1-4', 'a1-3', 'FucNAc', 'a1-3', 'GlcNAc', 'b1-3', 'GlcOPGro']",2.0743796e-11,Mutated-Random,Random
"['LDManHep', 'a1-2', 'DDManHep', 'a1-2', 'GalA', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', '1-1', 'Glc']",3.0116257e-11,Mutated-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-3', 'Glc', 'b1-2', '2,5-Anhydro-Man-ol', 'a1-3', 'Rha', '1-1', '1-1']",3.6337469e-09,Mutated-Random,Random
"['D-FucNAc', '1dAlt-ol', 'QuiNAc', 'b1-3', '6dTalOAc', 'a1-3', 'D-FucNAc', '1-1', '1-1', '1-1', '1-1']",3.8975986e-07,Mutated-Random,Random
"['GalOS', 'b1-4', 'GlcNAc', 'b1-2', '1-5', 'a1-6', 'NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc']",2.0530695e-08,Mutated-Random,Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-1', '2,5-Anhydro-Man', '1-1']",8.976541e-05,Mutated-Random,Random
"['GlcA', 'b1-3', '1-2', 'a1-3', 'GalNAc', 'a1-2', 'Fuc', 'a1-2', 'GlcA', '1-1', '1-1']",1.0715286e-05,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Xyl', 'a1-6', '1-2', 'b1-4', 'Glc']",1.442641e-12,Mutated-Random,Random
"['Galf', '1dEry-ol', 'Gal', 'a1-3', 'GalOAcA', 'a1-3', 'GalNAc', 'b1-3', 'Galf', '1-1', '1-1']",3.050706e-13,Mutated-Random,Random
"['FucNFo', 'a1-4', 'GalA', 'a1-4', '1-4', 'a1-4', 'GalNAc', 'a1-3', 'GalNAc', 'b1-3', 'GalA']",2.4378136e-12,Mutated-Random,Random
"['2,5-Anhydro-Man-ol', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",0.00029451473,Mutated-Random,Random
"['Man', 'a1-2', '1-2', 'a1-6', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",9.993247e-07,Mutated-Random,Random
